smiles,m,sigma,epsilon_k,m_std,sigma_std,epsilon_k_std,boiling_point_K,hfo_distance,tanimoto_nn,ad_label,mean_cv,rank_original,rank_median,rank_p05,rank_p95,rank_shift,credibility,f_mass_fraction,has_cf3,has_reactive_f,reactive_patterns,is_associating,mol_weight,heavy_atom_count,n_cc_double,n_fluorine,n_chlorine,n_hydrogen,n_carbon,lifetime_class,gwp_class,flammability_class,has_toxicity_flags,toxicity_flags,safety_score,safety_gate
CC(F)(F)C(=C(F)F)C(F)(F)F,4.2478675,3.5453619999999986,183.7348756999999,0.6210046769829919,0.2574151781810854,19.864341740879073,321.633177195933,0.5284368156883307,0.3684210526315789,warning,0.108970812583601,37,31,4,49,6,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C(=C/CC(F)(F)F)C(F)(F)F,4.260618499999999,3.4016900000000008,182.0140615999999,0.4821339036603316,0.3229562790936259,13.484210783730628,315.9061543439715,0.5297327373391898,0.4285714285714285,in_domain,0.0940612799258547,38,29,7,47,9,screening_ready,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C(=C\CC(F)(F)F)C(F)(F)F,4.260618499999999,3.4016900000000008,182.0140615999999,0.4821339036603316,0.3229562790936259,13.484210783730628,315.9061543439715,0.5297327373391898,0.4285714285714285,in_domain,0.0940612799258547,39,26,7,47,13,screening_ready,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
FC(F)=C(F)C(F)(F)C(F)F,4.275450299999999,3.294068400000001,177.2140792000001,0.5259280990010989,0.1452435987692401,14.777975033036949,306.28173719982937,0.5368881732858194,0.4444444444444444,in_domain,0.0834980500376862,40,28,6,48,12,screening_ready,0.730705767244362,False,False,,False,181.996647572,11,1,7,0,1,4,very_short,ultra_low,A1,False,,5,PASS
C=C(C(F)(F)F)C(F)(F)C(F)F,4.2825334999999995,3.3479412999999987,182.96771020000003,0.8443726917604274,0.1767481630097184,21.09186750370327,316.98909734769785,0.5399755681857716,0.4210526315789473,in_domain,0.1217453880958307,41,32,3,50,9,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
C/C(F)=C(\F)C(F)(F)C(F)(F)F,4.3079380999999985,3.450705600000002,180.55272149999993,0.5880630493589866,0.2107940993354415,23.268201182014614,316.70136329398935,0.5450396442344049,0.3478260869565217,warning,0.1088220509744413,42,34,5,49,8,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
C/C(F)=C(/F)C(F)(F)C(F)(F)F,4.3079380999999985,3.450705600000002,180.55272149999993,0.5880630493589866,0.2107940993354415,23.268201182014614,316.70136329398935,0.5450396442344049,0.3478260869565217,warning,0.1088220509744413,43,33,6,49,10,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
C=C(F)C(F)(F)[C@@H](F)C(F)(F)F,4.337176199999999,3.4071926,182.35202390000003,0.5856159594474523,0.2548168710647707,21.33661842056257,319.67965563181264,0.5573428431409154,0.4444444444444444,in_domain,0.1089393941044177,44,34,5,49,10,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
C=C(F)C(F)(F)[C@H](F)C(F)(F)F,4.337176199999999,3.4071926,182.35202390000003,0.5856159594474523,0.2548168710647707,21.33661842056257,319.67965563181264,0.5573428431409154,0.4444444444444444,in_domain,0.1089393941044177,45,35,6,49,10,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C=C/C(F)(F)[C@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5194597043397592,0.2225813885647001,14.05040173397883,322.6722902442179,0.5661392004653789,0.4444444444444444,in_domain,0.0869314387958772,46,31,5,48,15,screening_ready,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C=C/C(F)(F)[C@@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5194597043397592,0.2225813885647001,14.05040173397883,322.6722902442179,0.5661392004653789,0.4444444444444444,in_domain,0.0869314387958772,47,32,6,48,15,screening_ready,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C=C\C(F)(F)[C@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5194597043397592,0.2225813885647001,14.05040173397883,322.6722902442179,0.5661392004653789,0.4444444444444444,in_domain,0.0869314387958772,48,31,6,48,17,screening_ready,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
F/C=C\C(F)(F)[C@@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5194597043397592,0.2225813885647001,14.05040173397883,322.6722902442179,0.5661392004653789,0.4444444444444444,in_domain,0.0869314387958772,49,31,6,48,18,screening_ready,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
FC(F)=CCC(F)(F)C(F)(F)F,4.3835805999999975,3.4103283,182.74182979999995,0.5253351976230413,0.3096900510770567,13.657075585760449,322.25754587041314,0.5743055286576106,0.3809523809523809,warning,0.0951284295584404,50,32,6,48,18,screening_with_warning,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS
