smiles,m,sigma,epsilon_k,m_std,sigma_std,epsilon_k_std,boiling_point_K,hfo_distance,tanimoto_nn,ad_label,mean_cv,rank_original,rank_median,rank_p05,rank_p95,rank_shift,credibility,eos_convergence_count,vp_ratio_298,rho_ratio_298,property_distance_298,H_ratio,passes_all_thermo_gates,f_mass_fraction,has_cf3,has_reactive_f,reactive_patterns,is_associating,mol_weight,heavy_atom_count,n_cc_double,n_fluorine,n_chlorine,n_hydrogen,n_carbon,lifetime_class,gwp_class,flammability_class,has_toxicity_flags,toxicity_flags,safety_score,safety_gate,score_credibility,score_thermo,score_safety,score_proximity,dossier_score,dossier_rank,tier
F/C(=C/CC(F)(F)F)C(F)(F)F,4.260618499999999,3.4016900000000008,182.0140615999999,0.4821339036603316,0.3229562790936259,13.484210783730628,315.9061543439715,0.5297327373391898,0.4285714285714285,in_domain,0.0940612799258547,38,29,7,47,9,screening_ready,3,3.148492852169251,0.644366849783379,2.1777273643308432,3.4520528764481764,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,30.0,15.0,20.0,1.6,66.6,11,Tier 2 (Conditional)
F/C(=C\CC(F)(F)F)C(F)(F)F,4.260618499999999,3.4016900000000008,182.0140615999999,0.4821339036603316,0.3229562790936259,13.484210783730628,315.9061543439715,0.5297327373391898,0.4285714285714285,in_domain,0.0940612799258547,39,26,7,47,13,screening_ready,3,3.148492852169251,0.644366849783379,2.1777273643308432,3.4520528764481764,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,30.0,15.0,20.0,1.6,66.6,12,Tier 2 (Conditional)
FC(F)=C(F)C(F)(F)C(F)F,4.275450299999999,3.294068400000001,177.2140792000001,0.5259280990010989,0.1452435987692401,14.777975033036949,306.28173719982937,0.5368881732858194,0.4444444444444444,in_domain,0.0834980500376862,40,28,6,48,12,screening_ready,3,4.556005127407838,0.6970687939596165,3.5688849493565797,6.832400484770565,False,0.730705767244362,False,False,,False,181.996647572,11,1,7,0,1,4,very_short,ultra_low,A1,False,,5,PASS,30.0,15.0,20.0,1.3,66.3,13,Tier 2 (Conditional)
F/C(=C\C(F)(F)F)C(F)(F)F,3.9798863,3.268464200000001,175.53162690000008,0.5855093982792334,0.1293222563148354,11.04052991659202,291.1933849232481,0.4348987731900142,0.5555555555555556,in_domain,0.083193819390158,12,18,1,44,6,screening_ready,3,8.114707568557575,0.7521859331553091,7.119022095612328,57.73040503378725,False,0.730705767244362,True,False,,False,181.996647572,11,1,7,0,1,4,very_short,ultra_low,A1,False,,5,PASS,30.0,10.0,20.0,4.9,64.9,14,Tier 2 (Conditional)
F/C(=C/C(F)(F)F)C(F)(F)F,3.9798863,3.268464200000001,175.53162690000008,0.5855093982792334,0.1293222563148354,11.04052991659202,291.1933849232481,0.4348987731900142,0.5555555555555556,in_domain,0.083193819390158,11,17,2,45,6,screening_ready,3,8.114707568557575,0.7521859331553091,7.119022095612328,57.73040503378725,False,0.730705767244362,True,False,,False,181.996647572,11,1,7,0,1,4,very_short,ultra_low,A1,False,,5,PASS,30.0,10.0,20.0,4.9,64.9,15,Tier 2 (Conditional)
FC(F)=C(C(F)(F)F)C(F)(F)F,4.0887886999999985,3.349295200000002,170.37851590000005,0.6293317445173969,0.1796514166071617,10.11141366842946,289.5517331521214,0.4785156465172032,0.4666666666666667,in_domain,0.0889672547633889,19,21,2,47,2,screening_ready,3,8.604858715732904,0.6710147894642755,7.611971318588237,140.48242251329648,False,0.7599685401026186,True,False,,False,199.98722576,12,1,8,0,0,4,short,low,A1,False,,5,PASS,30.0,10.0,20.0,3.3,63.3,16,Tier 2 (Conditional)
F/C(=C(\F)C(F)(F)F)C(F)(F)F,4.102769999999998,3.3077638000000023,172.71699750000013,0.5489483856138024,0.1143920505435583,12.69390775792824,292.76783778716026,0.4799300501366125,0.6666666666666666,in_domain,0.0806259222230172,20,23,3,47,3,screening_ready,3,7.644302203029334,0.70095521537703,6.651028457944731,54.35949033530834,False,0.7599685401026186,True,False,,False,199.98722576,12,1,8,0,0,4,short,low,A1,False,,5,PASS,30.0,10.0,20.0,3.3,63.3,17,Tier 2 (Conditional)
F/C(=C(/F)C(F)(F)F)C(F)(F)F,4.102769999999998,3.3077638000000023,172.71699750000013,0.5489483856138024,0.1143920505435583,12.69390775792824,292.76783778716026,0.4799300501366125,0.6666666666666666,in_domain,0.0806259222230172,21,23,3,47,2,screening_ready,3,7.644302203029334,0.70095521537703,6.651028457944731,54.35949033530834,False,0.7599685401026186,True,False,,False,199.98722576,12,1,8,0,0,4,short,low,A1,False,,5,PASS,30.0,10.0,20.0,3.3,63.3,18,Tier 2 (Conditional)
FC(F)(F)/C=C/C(F)(F)F,4.176568599999999,3.2055381999999986,171.9725632000001,0.5986322661033567,0.1562729542971528,8.56221316186217,292.090242298356,0.5138854257571487,1.0,in_domain,0.0806234331097676,31,24,3,48,7,screening_ready,3,7.866780099098345,0.7571233091928505,6.871074007483147,36.14505151930051,False,0.6950230587693139,True,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS,30.0,10.0,20.0,2.1,62.1,19,Tier 2 (Conditional)
FC(F)(F)/C=C\C(F)(F)F,4.176568599999999,3.2055381999999986,171.9725632000001,0.5986322661033567,0.1562729542971528,8.56221316186217,292.090242298356,0.5138854257571487,1.0,in_domain,0.0806234331097676,32,23,3,48,9,screening_ready,3,7.866780099098345,0.7571233091928505,6.871074007483147,36.14505151930051,False,0.6950230587693139,True,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS,30.0,10.0,20.0,2.1,62.1,20,Tier 2 (Conditional)
FC(F)=C(F)C(F)(F)C(F)(F)F,4.224831699999998,3.349840900000002,169.87303530000003,0.5151744798144701,0.116068109944937,14.566639218852057,294.0658155024922,0.5273475762332998,0.5,in_domain,0.0807795479070708,36,28,5,47,8,screening_ready,3,7.276720972785331,0.6521367596492577,6.286353076640744,57.01802005770041,False,0.7599685401026186,True,False,,False,199.98722576,12,1,8,0,0,4,short,low,A1,False,,5,PASS,30.0,10.0,20.0,1.6,61.6,21,Tier 2 (Conditional)
FCC(F)(F)C=C(F)F,3.8195882999999986,3.2722614000000005,188.6141899000001,0.574386845944534,0.1835484958479366,23.55637189037476,303.87494766764905,0.3975951981901229,0.3333333333333333,warning,0.1104544453492422,7,23,2,47,16,screening_with_warning,3,5.007563377466921,0.8084426793655812,4.012138884872097,8.790616723991914,False,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,6.2,56.2,22,Tier 2 (Conditional)
C=C(F)C(F)(F)[C@@H](F)C(F)(F)F,4.337176199999999,3.4071926,182.35202390000003,0.5856159594474523,0.2548168710647707,21.33661842056257,319.67965563181264,0.5573428431409154,0.4444444444444444,in_domain,0.1089393941044177,44,34,5,49,10,screening_with_warning,3,2.7111210628571687,0.6323283566241865,1.7501764851283192,2.5607637227411977,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,20.0,20.0,0.6,55.6,23,Tier 2 (Conditional)
C=C(F)C(F)(F)[C@H](F)C(F)(F)F,4.337176199999999,3.4071926,182.35202390000003,0.5856159594474523,0.2548168710647707,21.33661842056257,319.67965563181264,0.5573428431409154,0.4444444444444444,in_domain,0.1089393941044177,45,35,6,49,10,screening_with_warning,3,2.7111210628571687,0.6323283566241865,1.7501764851283192,2.5607637227411977,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,20.0,20.0,0.6,55.6,24,Tier 2 (Conditional)
FC(F)=CCC(F)(F)C(F)(F)F,4.3835805999999975,3.4103283,182.74182979999995,0.5253351976230413,0.3096900510770567,13.657075585760449,322.25754587041314,0.5743055286576106,0.3809523809523809,warning,0.0951284295584404,50,32,6,48,18,screening_with_warning,3,2.446810940725665,0.6256341821594142,1.49446032525823,2.1335001694126428,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,20.0,20.0,0.0,55.0,25,Tier 2 (Conditional)
F/C=C(\F)C(F)(F)CF,3.7835100999999978,3.231143499999998,197.5979574000001,0.5163570632566093,0.1575472617557981,43.63918860972785,314.31377306667514,0.4391367659280895,0.5,in_domain,0.1353610086457805,14,31,3,50,17,screening_with_warning,3,3.3288425727781124,0.8669941809477388,2.3326376222391554,3.122796974839001,False,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,4.7,54.7,26,Tier 2 (Conditional)
F/C=C(/F)C(F)(F)CF,3.7835100999999978,3.231143499999998,197.5979574000001,0.5163570632566093,0.1575472617557981,43.63918860972785,314.31377306667514,0.4391367659280895,0.5,in_domain,0.1353610086457805,13,32,3,50,19,screening_with_warning,3,3.3288425727781124,0.8669941809477388,2.3326376222391554,3.122796974839001,False,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,4.7,54.7,27,Tier 2 (Conditional)
CC(F)=C(C(F)(F)F)C(F)(F)F,4.095268999999999,3.4750030999999995,182.171281,0.5664332604561637,0.2447571421580788,21.677029183475465,311.0877537583294,0.4705768145459087,0.3684210526315789,warning,0.1092467577855243,16,26,3,46,10,screening_with_warning,3,3.823088169269479,0.6250534844159613,2.847878456152564,6.733847235151277,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,3.6,53.6,28,Tier 2 (Conditional)
FC(F)=CC(F)(F)C(F)F,4.1109203,3.2606099,181.18435640000007,0.4530883509371101,0.1464125980200815,13.046652536347748,305.01041204894466,0.4814457415398098,0.3333333333333333,warning,0.0757089482963607,22,23,5,44,1,screening_with_warning,3,4.785917132167391,0.7519497255215581,3.7940344582393286,7.211874774457696,False,0.6950230587693139,False,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,3.2,53.2,29,Tier 2 (Conditional)
C/C(=C(\F)C(F)(F)F)C(F)(F)F,4.129369399999999,3.506188800000001,183.08553919999997,0.6873319083671585,0.2353573044172626,21.581849682508167,314.69961146197437,0.4844006062513766,0.4705882352941176,in_domain,0.1171514534808433,23,26,2,49,3,screening_with_warning,3,3.3328053506057675,0.6060094702157719,2.365842205510451,4.98070471664236,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,3.1,53.1,30,Tier 2 (Conditional)
C/C(=C(/F)C(F)(F)F)C(F)(F)F,4.129369399999999,3.506188800000001,183.08553919999997,0.6873319083671585,0.2353573044172626,21.581849682508167,314.69961146197437,0.4844006062513766,0.4705882352941176,in_domain,0.1171514534808433,24,29,3,49,5,screening_with_warning,3,3.3328053506057675,0.6060094702157719,2.365842205510451,4.98070471664236,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,3.1,53.1,31,Tier 2 (Conditional)
CC(=C(F)F)C(F)(F)C(F)(F)F,4.157443899999999,3.5149466000000005,183.06964359999992,0.6662761577302537,0.2628182695826909,20.73755454882511,316.0657240125966,0.4945338381435964,0.3478260869565217,warning,0.1161031652845422,25,29,4,49,4,screening_with_warning,3,3.162522965225529,0.5980662537083347,2.1995582082627108,4.457740844154431,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,2.8,52.8,32,Tier 2 (Conditional)
F/C=C\C(C(F)(F)F)C(F)(F)F,4.166807799999998,3.4530169,182.00456729999993,0.5165509849135516,0.2364493565552463,12.794481998624466,313.2869091327433,0.4958170794006813,0.3157894736842105,warning,0.0875805967685095,27,25,4,46,2,screening_with_warning,3,3.5047779157575123,0.6276318409087791,2.5323053633342747,5.018843105145703,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,2.7,52.7,33,Tier 2 (Conditional)
F/C=C/C(C(F)(F)F)C(F)(F)F,4.166807799999998,3.4530169,182.00456729999993,0.5165509849135516,0.2364493565552463,12.794481998624466,313.2869091327433,0.4958170794006813,0.3157894736842105,warning,0.0875805967685095,26,26,4,47,0,screening_with_warning,3,3.5047779157575123,0.6276318409087791,2.5323053633342747,5.018843105145703,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,2.7,52.7,34,Tier 2 (Conditional)
C=CC(F)(F)C(F)(F)C(F)(F)F,4.188561799999999,3.388147400000002,181.4762335,0.8427468156954138,0.18724341101689,22.540909650007485,311.78132843350494,0.5037222868585312,0.4375,in_domain,0.1268916011149764,28,30,2,50,2,screening_with_warning,3,3.698932221006227,0.66043504279893,2.7202094576970675,4.927934421599178,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,2.5,52.5,35,Tier 2 (Conditional)
F/C=C(\CC(F)(F)F)C(F)(F)F,4.1899267999999985,3.438543300000001,182.0221924,0.5630479363195998,0.2169490732501754,13.374747129757266,313.92045059227223,0.5041221620638697,0.3636363636363636,warning,0.090317766822515,30,25,3,47,5,screening_with_warning,3,3.4152790514586804,0.6326939407338724,2.4430486359441876,4.536466693156483,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,2.4,52.4,36,Tier 2 (Conditional)
F/C=C(/CC(F)(F)F)C(F)(F)F,4.1899267999999985,3.438543300000001,182.0221924,0.5630479363195998,0.2169490732501754,13.374747129757266,313.92045059227223,0.5041221620638697,0.3636363636363636,warning,0.090317766822515,29,24,4,47,5,screening_with_warning,3,3.4152790514586804,0.6326939407338724,2.4430486359441876,4.536466693156483,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,2.4,52.4,37,Tier 2 (Conditional)
F/C=C(/F)CC(F)(F)F,3.809371099999999,3.2601918999999997,181.5963972,0.6199842076793488,0.1482001952542236,18.812209059649863,292.82964570793723,0.3761015131704783,0.3809523809523809,warning,0.1039344667256393,4,18,2,46,14,screening_with_warning,3,7.626296049032831,0.8017098738516861,6.629262274458299,40.81348814986261,False,0.6505474126200261,True,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,15.0,10.0,20.0,6.9,51.9,38,Tier 2 (Conditional)
F/C=C(\F)CC(F)(F)F,3.809371099999999,3.2601918999999997,181.5963972,0.6199842076793488,0.1482001952542236,18.812209059649863,292.82964570793723,0.3761015131704783,0.3809523809523809,warning,0.1039344667256393,3,18,2,45,15,screening_with_warning,3,7.626296049032831,0.8017098738516861,6.629262274458299,40.81348814986261,False,0.6505474126200261,True,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,15.0,10.0,20.0,6.9,51.9,39,Tier 2 (Conditional)
FC(F)=CCC(F)(F)F,3.7749204999999986,3.153498900000002,181.350453,0.5877756690173132,0.4205720143183447,18.75457333313288,288.4065705351095,0.3756613596184912,0.3333333333333333,warning,0.1308294739578942,2,18,2,44,16,screening_with_warning,3,9.036857075366807,0.8916487778751798,8.037587426411575,57.68292129368492,False,0.6505474126200261,True,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,15.0,10.0,20.0,6.9,51.9,40,Tier 2 (Conditional)
C=C(F)C(C(F)(F)F)C(F)(F)F,4.238895,3.4430124000000006,181.8194535,0.5506638168710561,0.2892793645703751,20.439937424438384,315.7225850538057,0.5213800553705653,0.4117647058823529,in_domain,0.1087818433039087,33,32,5,49,1,screening_with_warning,3,3.1828258992456244,0.623752547084822,2.2150149101625995,3.8730142996857015,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,1.8,51.8,41,Tier 2 (Conditional)
F/C=C/C(F)(F)C(F)F,3.819049599999999,3.2381821999999993,181.95467000000008,0.5930174680242057,0.125314349470282,20.4233491447373,293.25259835229434,0.3819374879946397,0.4444444444444444,in_domain,0.1020739827583563,6,19,2,46,13,screening_with_warning,3,7.509886552686869,0.8174536157690666,6.512445478562498,34.76833086740201,False,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,15.0,10.0,20.0,6.7,51.7,42,Tier 2 (Conditional)
F/C=C\C(F)(F)C(F)F,3.819049599999999,3.2381821999999993,181.95467000000008,0.5930174680242057,0.125314349470282,20.4233491447373,293.25259835229434,0.3819374879946397,0.4444444444444444,in_domain,0.1020739827583563,5,18,2,45,13,screening_with_warning,3,7.509886552686869,0.8174536157690666,6.512445478562498,34.76833086740201,False,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,15.0,10.0,20.0,6.7,51.7,43,Tier 2 (Conditional)
C=C(C(F)(F)F)C(F)(F)C(F)F,4.2825334999999995,3.3479412999999987,182.96771020000003,0.8443726917604274,0.1767481630097184,21.09186750370327,316.98909734769785,0.5399755681857716,0.4210526315789473,in_domain,0.1217453880958307,41,32,3,50,9,screening_with_warning,3,3.003389353646529,0.6748802449867137,2.029598915402784,2.8117244781677395,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,1.2,51.2,44,Tier 2 (Conditional)
C/C(F)=C(\F)C(F)(F)C(F)(F)F,4.3079380999999985,3.450705600000002,180.55272149999993,0.5880630493589866,0.2107940993354415,23.268201182014614,316.70136329398935,0.5450396442344049,0.3478260869565217,warning,0.1088220509744413,42,34,5,49,8,screening_with_warning,3,3.062844646700048,0.6089206712718633,2.099588311497636,3.637447168160338,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,1.0,51.0,45,Tier 2 (Conditional)
C/C(F)=C(/F)C(F)(F)C(F)(F)F,4.3079380999999985,3.450705600000002,180.55272149999993,0.5880630493589866,0.2107940993354415,23.268201182014614,316.70136329398935,0.5450396442344049,0.3478260869565217,warning,0.1088220509744413,43,33,6,49,10,screening_with_warning,3,3.062844646700048,0.6089206712718633,2.099588311497636,3.637447168160338,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,15.0,20.0,1.0,51.0,46,Tier 2 (Conditional)
FC(F)=CC(F)(F)C(F)(F)F,3.9238712,3.3267765000000016,176.3597813000001,0.5496181676114428,0.1746699363220529,11.191983289508224,291.49489966186684,0.4107636640358061,0.3333333333333333,warning,0.0853452450688574,9,15,2,43,6,screening_with_warning,3,8.006844565585956,0.7236165551408075,7.012293389104144,73.43001094389746,False,0.730705767244362,True,False,,False,181.996647572,11,1,7,0,1,4,very_short,ultra_low,A1,False,,5,PASS,15.0,10.0,20.0,5.7,50.7,47,Tier 2 (Conditional)
FC(F)=C(F)CC(F)(F)F,3.9836432999999984,3.3353066999999994,178.6938263,0.4870418143384713,0.2904863944388963,10.268842803759402,297.7222086821068,0.4308132546632955,0.3529411764705882,warning,0.0889402953982975,10,20,2,43,10,screening_with_warning,3,6.337610961520332,0.7151458290471343,5.3452065138076055,25.04029577308619,False,0.6950230587693139,True,False,,False,164.006069384,10,1,6,0,2,4,very_short,ultra_low,A1,False,,5,PASS,15.0,10.0,20.0,5.0,50.0,48,Tier 3 (Not recommended)
CC(F)(F)C(=C(F)F)C(F)(F)F,4.2478675,3.5453619999999986,183.7348756999999,0.6210046769829919,0.2574151781810854,19.864341740879073,321.633177195933,0.5284368156883307,0.3684210526315789,warning,0.108970812583601,37,31,4,49,6,screening_with_warning,2,2.551228670100741,0.573483961684639,1.6087965433462197,2.916298141786479,False,0.6784574315176822,True,False,,False,196.012297636,12,1,7,0,3,5,very_short,ultra_low,A1,False,,5,PASS,15.0,10.0,20.0,1.6,46.6,49,Tier 3 (Not recommended)
FC(F)=C(F)CC(F)F,3.8762670999999993,3.247416299999998,180.91469320000004,0.6918515575718462,0.1665428730666971,11.1283134500846,294.41545230254087,0.3997670397174226,0.2941176470588235,ood,0.0970933638078641,8,14,1,46,6,high_extrapolation_risk,3,7.188028170723287,0.7980585210243296,6.191322395304243,29.66941206214877,False,0.6505474126200261,False,False,,False,146.015491196,9,1,5,0,3,4,very_short,ultra_low,A1,False,,5,PASS,0.0,10.0,20.0,6.1,36.1,50,Tier 3 (Not recommended)
