smiles,m,sigma,epsilon_k,hfo_distance,credibility,ad_label,mean_cv,eos_convergence_count,vp_ratio_298,rho_ratio_298,property_distance_298,H_ratio,passes_all_thermo_gates
F/C=C(/F)C(F)(F)CF,3.7835100999999978,3.231143499999998,197.5979574000001,0.4391367659280895,screening_with_warning,in_domain,0.1353610086457805,3,3.3288425727781124,0.8669941809477388,2.3326376222391554,3.122796974839001,False
F/C=C(\F)C(F)(F)CF,3.7835100999999978,3.231143499999998,197.5979574000001,0.4391367659280895,screening_with_warning,in_domain,0.1353610086457805,3,3.3288425727781124,0.8669941809477388,2.3326376222391554,3.122796974839001,False
FCC(F)(F)C(F)=C(F)F,4.056802399999999,3.231051899999999,183.29880310000016,0.4672837320538407,screening_ready,in_domain,0.0805291765978253,3,4.7363986129056865,0.7864025388360952,3.7424989605795758,6.550869466104507,False
CC(F)=C(C(F)(F)F)C(F)(F)F,4.095268999999999,3.4750030999999995,182.171281,0.4705768145459087,screening_with_warning,warning,0.1092467577855243,3,3.823088169269479,0.6250534844159613,2.847878456152564,6.733847235151277,False
F/C=C(/F)C(F)(F)C(F)F,4.0933386999999986,3.256990499999999,180.07279730000005,0.474687527071462,screening_ready,in_domain,0.0933594655717862,3,5.276519604063137,0.7544905694527337,4.283560995763218,9.60896856190315,False
F/C=C(\F)C(F)(F)C(F)F,4.0933386999999986,3.256990499999999,180.07279730000005,0.474687527071462,screening_ready,in_domain,0.0933594655717862,3,5.276519604063137,0.7544905694527337,4.283560995763218,9.60896856190315,False
FC(F)=C(C(F)(F)F)C(F)(F)F,4.0887886999999985,3.349295200000002,170.37851590000005,0.4785156465172032,screening_ready,in_domain,0.0889672547633889,3,8.604858715732904,0.6710147894642755,7.611971318588237,140.48242251329648,False
F/C(=C(\F)C(F)(F)F)C(F)(F)F,4.102769999999998,3.3077638000000023,172.71699750000013,0.4799300501366125,screening_ready,in_domain,0.0806259222230172,3,7.644302203029334,0.70095521537703,6.651028457944731,54.35949033530834,False
F/C(=C(/F)C(F)(F)F)C(F)(F)F,4.102769999999998,3.3077638000000023,172.71699750000013,0.4799300501366125,screening_ready,in_domain,0.0806259222230172,3,7.644302203029334,0.70095521537703,6.651028457944731,54.35949033530834,False
FC(F)=CC(F)(F)C(F)F,4.1109203,3.2606099,181.18435640000007,0.4814457415398098,screening_with_warning,warning,0.0757089482963607,3,4.785917132167391,0.7519497255215581,3.7940344582393286,7.211874774457696,False
C/C(=C(\F)C(F)(F)F)C(F)(F)F,4.129369399999999,3.506188800000001,183.08553919999997,0.4844006062513766,screening_with_warning,in_domain,0.1171514534808433,3,3.3328053506057675,0.6060094702157719,2.365842205510451,4.98070471664236,False
C/C(=C(/F)C(F)(F)F)C(F)(F)F,4.129369399999999,3.506188800000001,183.08553919999997,0.4844006062513766,screening_with_warning,in_domain,0.1171514534808433,3,3.3328053506057675,0.6060094702157719,2.365842205510451,4.98070471664236,False
CC(=C(F)F)C(F)(F)C(F)(F)F,4.157443899999999,3.5149466000000005,183.06964359999992,0.4945338381435964,screening_with_warning,warning,0.1161031652845422,3,3.162522965225529,0.5980662537083347,2.1995582082627108,4.457740844154431,False
F/C=C/C(C(F)(F)F)C(F)(F)F,4.166807799999998,3.4530169,182.00456729999993,0.4958170794006813,screening_with_warning,warning,0.0875805967685095,3,3.5047779157575123,0.6276318409087791,2.5323053633342747,5.018843105145703,False
F/C=C\C(C(F)(F)F)C(F)(F)F,4.166807799999998,3.4530169,182.00456729999993,0.4958170794006813,screening_with_warning,warning,0.0875805967685095,3,3.5047779157575123,0.6276318409087791,2.5323053633342747,5.018843105145703,False
C=CC(F)(F)C(F)(F)C(F)(F)F,4.188561799999999,3.388147400000002,181.4762335,0.5037222868585312,screening_with_warning,in_domain,0.1268916011149764,3,3.6989322210062276,0.66043504279893,2.7202094576970675,4.927934421599178,False
F/C=C(/CC(F)(F)F)C(F)(F)F,4.1899267999999985,3.438543300000001,182.0221924,0.5041221620638697,screening_with_warning,warning,0.090317766822515,3,3.4152790514586804,0.6326939407338724,2.4430486359441876,4.536466693156483,False
F/C=C(\CC(F)(F)F)C(F)(F)F,4.1899267999999985,3.438543300000001,182.0221924,0.5041221620638697,screening_with_warning,warning,0.090317766822515,3,3.4152790514586804,0.6326939407338724,2.4430486359441876,4.536466693156483,False
FC(F)(F)/C=C/C(F)(F)F,4.176568599999999,3.2055381999999986,171.9725632000001,0.5138854257571487,screening_ready,in_domain,0.0806234331097676,3,7.866780099098345,0.7571233091928505,6.871074007483147,36.145051519300516,False
FC(F)(F)/C=C\C(F)(F)F,4.176568599999999,3.2055381999999986,171.9725632000001,0.5138854257571487,screening_ready,in_domain,0.0806234331097676,3,7.866780099098345,0.7571233091928505,6.871074007483147,36.145051519300516,False
C=C(F)C(C(F)(F)F)C(F)(F)F,4.238895,3.4430124000000006,181.8194535,0.5213800553705653,screening_with_warning,in_domain,0.1087818433039087,3,3.1828258992456244,0.623752547084822,2.2150149101625995,3.8730142996857015,False
F/C(=C/C(F)(F)F)CC(F)(F)F,4.252869099999998,3.407438000000001,182.01322259999995,0.5268787864836847,screening_ready,in_domain,0.089733442909935,3,3.172155961588131,0.6420907592737821,2.201445104030549,3.5528501799741985,False
F/C(=C\C(F)(F)F)CC(F)(F)F,4.252869099999998,3.407438000000001,182.01322259999995,0.5268787864836847,screening_ready,in_domain,0.089733442909935,3,3.172155961588131,0.6420907592737821,2.201445104030549,3.5528501799741985,False
FC(F)=C(F)C(F)(F)C(F)(F)F,4.224831699999998,3.349840900000002,169.87303530000003,0.5273475762332998,screening_ready,in_domain,0.0807795479070708,3,7.276720972785331,0.6521367596492577,6.286353076640744,57.01802005770041,False
CC(F)(F)C(=C(F)F)C(F)(F)F,4.2478675,3.5453619999999986,183.7348756999999,0.5284368156883307,screening_with_warning,warning,0.108970812583601,2,2.551228670100741,0.573483961684639,1.6087965433462195,2.916298141786479,False
F/C(=C/CC(F)(F)F)C(F)(F)F,4.260618499999999,3.4016900000000008,182.0140615999999,0.5297327373391898,screening_ready,in_domain,0.0940612799258547,3,3.148492852169251,0.644366849783379,2.1777273643308432,3.4520528764481764,False
F/C(=C\CC(F)(F)F)C(F)(F)F,4.260618499999999,3.4016900000000008,182.0140615999999,0.5297327373391898,screening_ready,in_domain,0.0940612799258547,3,3.148492852169251,0.644366849783379,2.1777273643308432,3.4520528764481764,False
FC(F)=C(F)C(F)(F)C(F)F,4.275450299999999,3.294068400000001,177.2140792000001,0.5368881732858194,screening_ready,in_domain,0.0834980500376862,3,4.556005127407838,0.6970687939596165,3.5688849493565797,6.832400484770565,False
C=C(C(F)(F)F)C(F)(F)C(F)F,4.2825334999999995,3.3479412999999987,182.96771020000003,0.5399755681857716,screening_with_warning,in_domain,0.1217453880958307,3,3.003389353646529,0.6748802449867137,2.029598915402784,2.8117244781677395,False
C/C(F)=C(\F)C(F)(F)C(F)(F)F,4.3079380999999985,3.450705600000002,180.55272149999993,0.5450396442344049,screening_with_warning,warning,0.1088220509744413,3,3.062844646700048,0.6089206712718633,2.099588311497636,3.637447168160338,False
C/C(F)=C(/F)C(F)(F)C(F)(F)F,4.3079380999999985,3.450705600000002,180.55272149999993,0.5450396442344049,screening_with_warning,warning,0.1088220509744413,3,3.062844646700048,0.6089206712718633,2.099588311497636,3.637447168160338,False
C=C(F)C(F)(F)[C@@H](F)C(F)(F)F,4.337176199999999,3.4071926,182.35202390000003,0.5573428431409154,screening_with_warning,in_domain,0.1089393941044177,3,2.7111210628571687,0.6323283566241865,1.7501764851283192,2.5607637227411977,False
C=C(F)C(F)(F)[C@H](F)C(F)(F)F,4.337176199999999,3.4071926,182.35202390000003,0.5573428431409154,screening_with_warning,in_domain,0.1089393941044177,3,2.7111210628571687,0.6323283566241865,1.7501764851283192,2.5607637227411977,False
F/C=C/C(F)(F)[C@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5661392004653789,screening_ready,in_domain,0.0869314387958772,3,2.4119958628927796,0.6224795649442202,1.461592965127785,2.1229896869039426,False
F/C=C/C(F)(F)[C@@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5661392004653789,screening_ready,in_domain,0.0869314387958772,3,2.4119958628927796,0.6224795649442202,1.461592965127785,2.1229896869039426,False
F/C=C\C(F)(F)[C@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5661392004653789,screening_ready,in_domain,0.0869314387958772,3,2.4119958628927796,0.6224795649442202,1.461592965127785,2.1229896869039426,False
F/C=C\C(F)(F)[C@@H](F)C(F)(F)F,4.358657499999999,3.4237831,183.41334869999991,0.5661392004653789,screening_ready,in_domain,0.0869314387958772,3,2.4119958628927796,0.6224795649442202,1.461592965127785,2.1229896869039426,False
FC(F)=CCC(F)(F)C(F)(F)F,4.3835805999999975,3.4103283,182.74182979999995,0.5743055286576106,screening_with_warning,warning,0.0951284295584404,3,2.446810940725665,0.6256341821594142,1.49446032525823,2.1335001694126428,False
