smiles,sa_score,m,sigma,epsilon_k,distance,is_associating,vapor_pressure_Pa,liquid_density_mol_m3,vp_ratio_to_ref,rho_ratio_to_ref,property_distance,H_Pa,phi_inf,P_sat_solvent_Pa,H_ratio,tanimoto_to_nearest_train,epsilon_k_tree_std,H_eps_plus,H_eps_minus,H_sensitivity_pct,H_kij_plus,H_kij_minus,H_kij_sensitivity_pct
C/C(=C\Cl)[C@H](F)C(F)(F)F,4.160680129902564,3.9852349999999994,3.5663638999999985,215.92561869999997,0.8133644390001797,False,8810.891152524828,6966.405130855235,0.5422617182295861,0.6411508835894895,0.5816330655548522,30593.42944707052,1.5155426889783874,20186.45180340862,0.5920243349952572,0.375,,25321.295140296686,43580.53409768559,53.000737888460755,114695.87817309069,22285.456103104276,134.9241085411821
C/C(=C\Cl)[C@@H](F)C(F)(F)F,4.160680129902564,3.9852349999999994,3.5663638999999985,215.92561869999997,0.8133644390001797,False,8810.891152524828,6966.405130855235,0.5422617182295861,0.6411508835894895,0.5816330655548522,30593.42944707052,1.5155426889783874,20186.45180340862,0.5920243349952572,0.375,,25321.295140296686,43580.53409768559,53.000737888460755,114695.87817309069,22285.456103104276,134.9241085411821
C/C(=C/Cl)[C@H](F)C(F)(F)F,4.160680129902564,3.9852349999999994,3.5663638999999985,215.92561869999997,0.8133644390001797,False,8810.891152524828,6966.405130855235,0.5422617182295861,0.6411508835894895,0.5816330655548522,30593.42944707052,1.5155426889783874,20186.45180340862,0.5920243349952572,0.375,,25321.295140296686,43580.53409768559,53.000737888460755,114695.87817309069,22285.456103104276,134.9241085411821
C/C(=C/Cl)[C@@H](F)C(F)(F)F,4.160680129902564,3.9852349999999994,3.5663638999999985,215.92561869999997,0.8133644390001797,False,8810.891152524828,6966.405130855235,0.5422617182295861,0.6411508835894895,0.5816330655548522,30593.42944707052,1.5155426889783874,20186.45180340862,0.5920243349952572,0.375,,25321.295140296686,43580.53409768559,53.000737888460755,114695.87817309069,22285.456103104276,134.9241085411821
F[C@H](Cl)/C=C/C(F)(F)F,4.216908001221838,3.8894662000000007,3.3669263999999997,207.3324932,0.813978430518137,False,21868.24309483341,8314.519146309667,1.3458696594916577,0.7652241288217649,0.4180257540443823,51864.09105795214,2.5692524651209148,20186.45180340862,1.003640473580765,0.4117647058823529,,34713.33808318156,105816.48168053626,101.19296205873624,557199.4166018637,26364.525777748204,181.92861219612647
F[C@@H](Cl)/C=C/C(F)(F)F,4.216908001221838,3.8894662000000007,3.3669263999999997,207.3324932,0.813978430518137,False,21868.24309483341,8314.519146309667,1.3458696594916577,0.7652241288217649,0.4180257540443823,51864.09105795214,2.5692524651209148,20186.45180340862,1.003640473580765,0.4117647058823529,,34713.33808318156,105816.48168053626,101.19296205873624,557199.4166018637,26364.525777748204,181.92861219612647
F[C@H](Cl)/C=C\C(F)(F)F,4.216908001221838,3.8894662000000007,3.3669263999999997,207.3324932,0.813978430518137,False,21868.24309483341,8314.519146309667,1.3458696594916577,0.7652241288217649,0.4180257540443823,51864.09105795214,2.5692524651209148,20186.45180340862,1.003640473580765,0.4117647058823529,,34713.33808318156,105816.48168053626,101.19296205873624,557199.4166018637,26364.525777748204,181.92861219612647
F[C@@H](Cl)/C=C\C(F)(F)F,4.216908001221838,3.8894662000000007,3.3669263999999997,207.3324932,0.813978430518137,False,21868.24309483341,8314.519146309667,1.3458696594916577,0.7652241288217649,0.4180257540443823,51864.09105795214,2.5692524651209148,20186.45180340862,1.003640473580765,0.4117647058823529,,34713.33808318156,105816.48168053626,101.19296205873624,557199.4166018637,26364.525777748204,181.92861219612647
C=CC(F)(F)C(F)(F)[C@H](F)Cl,4.056942460471026,3.9013478000000017,3.6073115999999983,207.0403498,0.8142146835015922,False,17667.48924440864,6738.621041566254,1.0873364462947002,0.6201868472792256,0.38972514138952,46649.389433356424,2.310925658836158,20186.45180340862,0.902728927628025,0.45454545454545453,,31801.414330782336,95890.72756868709,100.38098239179281,585665.6104034772,24833.490842103005,183.72905657588285
C=CC(F)(F)C(F)(F)[C@@H](F)Cl,4.056942460471026,3.9013478000000017,3.6073115999999983,207.0403498,0.8142146835015922,False,17667.48924440864,6738.621041566254,1.0873364462947002,0.6201868472792256,0.38972514138952,46649.389433356424,2.310925658836158,20186.45180340862,0.902728927628025,0.45454545454545453,,31801.414330782336,95890.72756868709,100.38098239179281,585665.6104034772,24833.490842103005,183.72905657588285
