smiles,m,sigma,epsilon_k
CCCC(C)(C)CC,3.2413210011985236,4.018386592858102,255.36266254328635
CCC(C)C(C)CC,3.3701077788983707,3.9528281156286686,254.4640009925096
CCC(CC)C(C)C,3.3170461177779527,3.970999578431393,255.17164111656217
CCC(C)(CC)CC,3.104403900940185,4.062086339089422,266.4563821208785
CCC(C)C(C)(C)C,3.1132660969649946,4.064895851362627,259.6304852018148
CCC(C)(C)C(C)C,3.030365439426893,4.09564170583914,267.2982771303751
CC(C)C(C)C(C)C,3.214505829133751,4.020922605639648,257.81243710368597
CC1CCCC1,2.653839666885296,3.801114131058243,262.76029518238954
C[C@@H]1CCCC[C@@H]1C,2.8953422901438035,4.0373171518988515,288.55975425735926
CCCc1ccccc1,3.4229169720108485,3.817771976233563,283.74612880892846
CCOC(C)(C)C,3.523844173759481,3.6663835672048783,220.98512805749647
CC(=O)CC(C)=O,1.9648758816562408,4.19443071532676,382.2234864440173
CCC(CC)CC,3.173306491788499,3.8906753226139297,247.736389080716
CCCCC(C)C,3.305126605705627,3.867276435077531,239.40860881518208
CC(C)CC(C)C,3.1269122223802284,3.935458890254417,239.49726414637928
CCC(CC)(CC)CC,3.267521457177945,4.123762092441955,276.83960120567895
CC(C)CC1CCCCC1,3.5998883691468255,4.060226380075088,278.840001325681
CC(C)(C)C1CCCCC1,3.4751629395324186,4.082342855537404,284.5630806777237
CCCCc1ccccc1,3.790450496614467,3.840624231067421,281.84429523343505
CC(C)Cc1ccccc1,3.7579865096150056,3.8533198400880457,275.562311456367
CCC(C)c1ccccc1,3.53335072097072,3.926969455725317,286.01551899963454
CCc1ccccc1CC,3.763606672937315,3.822996115122738,284.1977203558452
CCc1cccc(CC)c1,3.857686528979423,3.810504720428316,278.72110561695933
CCc1ccc(CC)cc1,3.797534132020088,3.8370073194831353,282.58237809651246
CCCCCCN,4.6019864511812045,3.3540565829876976,228.24036578294937
CCCCCCCCN,3.6954766246206248,3.976470755464661,275.19717942942566
Cc1ccc(O)cc1,3.9319635715247374,3.3641763888533247,293.9988142541976
CC(C)CC(=O)O,4.598279819560678,3.2230521010716355,250.0495625569846
C=C(C)[C@@H]1CC=C(C)CC1,3.901638554415116,3.837107588453774,274.18150093380166
CC(O)CCO,4.268393552496108,3.1098026771155434,276.1354552332724
OCCOCCO,3.7271790609816815,3.3501033110357983,324.64460219438115
ClC(Cl)=C(Cl)Cl,2.659144752123339,3.727805763591655,305.5786468723228
CCC(C)C(C)C,3.059776066749497,3.9360741094316847,249.96100646458993
CCC,2.0001733462157967,3.614478527523645,208.24465519857392
CCCC,2.3156238007555627,3.711856424979087,223.8008517046311
CCc1ccccc1,3.046105916202763,3.7945569555385017,289.31498529757755
CC(Cl)Cl,2.728224013599013,3.395072596806899,254.3724926024804
CC(C)(Cl)Cl,2.6563162368545985,3.688452863100903,263.04266468862863
ClCCCCl,2.858753548482301,3.5550245595036403,295.2048032350698
CCC(Cl)Cl,2.749107206696243,3.625130600840381,274.1413999793099
C1CCOC1,2.5225250877213288,3.4794388062716974,273.94140858042715
O=C1CCCO1,2.6227341098466432,3.481543046344929,387.14214361947165
CCCC/C(C(=O)[O-])=C(\CCCC)C(=O)[O-],7.357136457432967,3.4959423400705756,243.13553123359088
CN1CCCC1=O,3.2275862087247513,3.4881027328876364,337.40720004631106
CCCO,2.643259281161983,3.3852785164669807,246.9173573144202
CC(C)O,2.814133943862039,3.3180028406674156,226.52976545983063
CN(C)C=O,2.8510776644199347,3.358658884931492,326.9300134172544
CCCCOCCO,4.9039213831340165,3.30358306057198,245.37582095224403
CCO,1.7064501125880822,3.6017584719789117,252.01562302972124
CN(C)CCN(C)C,3.811012468915998,3.7217014058477447,241.3407356103856
CCI,1.89065294222697,3.8552239483157913,331.73360342221235
CCCCBr,2.8711347799286155,3.6695748514230737,275.4746134624164
CC(O)CO,2.279931116469477,3.556526548131502,262.1501669600051
CNC(C)=O,4.43727015377457,2.902803183294671,290.53418001896193
CNC=O,3.429311365691191,2.9104217783777746,337.2046380084558
CC/C(C)=N/O,3.5589199130537494,3.3408960779257435,262.6035097352477
C=CCCCCCCCCCCCCCCCC,8.0961605734196,3.7944327876129815,244.3132198332437
Cl/C=C/Cl,2.324196476893589,3.491460063147847,272.8999284589767
ClCC(Cl)Cl,2.9861318751466985,3.4615500839286284,283.19617491523513
CCOC(=O)Cc1ccccc1,5.106838546565865,3.5085401904766655,268.2947009911061
COC(=O)c1ccccc1,3.895146545947893,3.5523139082427866,294.6695720943284
Cc1ccccc1O,3.827990754487681,3.3728678940010193,293.1668358504625
CCCCC(CC)CO,3.66917489258658,3.924387310290691,268.8981323901087
O=Cc1ccco1,3.332181018080479,3.2581666720349327,304.3114863082037
CCCCOCCOCCO,3.828291655912638,4.009027382076902,289.55203106572986
FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,5.025054263285074,3.6874719987330367,176.9342135651798
OC(C(F)(F)F)C(F)(F)F,1.0000000000027027,4.994046498747565,134.82149052375627
COC(=O)OC,3.2659334534165243,3.2372217298630614,254.0446655377503
Clc1ccccc1Cl,2.9450085588013177,3.767442753553692,331.8477595786678
COC(C)(C)OC,3.2352882325743404,3.651875503208673,239.0355802435329
C1=CC2C3C=CC(C3)C2C1,3.1839582355282303,3.886156509283329,307.4728301963194
CC(C)(C)C(C)(C)O,3.3073839562054155,3.865458471973068,259.7475424885342
C1CCCCCC1,2.6924035748533752,3.932682392178127,296.196473934991
CCCCCC(C)=O,4.093680221194575,3.5822587065006064,253.51701964691483
CCCCC(=O)CC,4.176750903850685,3.5473336492201257,248.72849005076344
CCCC(=O)CCC,4.022182568073516,3.5972296018081034,251.52396268197776
CC(=O)CC(C)C,3.4843925816109147,3.622529565133446,254.2837443552538
Cc1ccccc1Cl,2.983620773024714,3.782652505435754,311.70613703070643
CC(=O)CCC=C(C)C,4.592662028251765,3.5200239784950633,250.3386531858559
ClC1CCCCC1,2.5494605261326773,4.015164415717768,326.2530155372148
COP(OC)OC,2.8724127196150633,3.80739248067808,280.6746133081624
C1CCCCCCC1,2.934370882859715,3.974845817180679,304.0963354612188
ClCC1CO1,3.2276423054506234,3.197490760621524,277.1515753718254
COCC(C)O,4.23939235054658,3.1195785483437617,237.5515517647249
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,5.0961977050206615,4.276963506165687,264.40716570016986
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,5.158040012094619,4.16684445264627,213.06369190886224
c1ccc2sccc2c1,2.944370002671048,3.8319269983846502,362.8841566128855
C1CCCCCCCCC1,3.250530265114405,4.134603523075579,318.82910925018115
C1CCCCCCCCCCC1,3.696894358328192,4.214382677058147,320.3629230039943
O=C1CCC1,2.6574173851874825,3.3681344587827233,295.3397321780269
O=C1CCCCCC1,3.176598703696647,3.731749898645528,316.25073361422403
O=C1CCCCCCC1,3.2583747102139027,3.861162533007024,323.9713965229558
O=C1CCCCCCCCCC1,3.6755329080784,4.09817656910621,333.5158990260725
O=C1CCCCCCCCCCC1,3.928645149038765,4.129769382967212,331.8272021756348
CCOCCC#N,3.7866280432476658,3.414982409941161,281.97638865522936
ClCc1ccccc1,3.835862447396061,3.4560949577225637,285.23511870648315
